image,candidate_image,matched,score,keyword,matched_text,text_count
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00062_f8f6cb2b006f.webp,,False,31.99,softcare,SILENT NIGHT,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00063_b3a57d1ed15b.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00063_b3a57d1ed15b.webp,True,65.83,softcare,Kleesoft,9
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00064_2c7fa8e65842.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00064_2c7fa8e65842.webp,True,62.96,softcare,SOFT&SMOOTH,25
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00065_1981f64cf344.webp,,False,49.57,softcare,AUNTIECHARLOTTEENTERPRISE,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00066_1b84f1812b4c.webp,,False,39.31,softcare,uperGlue,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00067_6b52c8790648.webp,,False,46.43,softcare,oltcwie,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00068_af0010cdb230.webp,,False,48.24,softcare,AFIA'SVENTURES,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00069_592ff0848ca1.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00069_592ff0848ca1.webp,True,64.38,softcare,PREMIUM SOFT,14
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00070_4c8b1e2d175f.webp,,False,55.82,softcare,Seftare,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00071_98d6763b9dc6.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00071_98d6763b9dc6.webp,True,66.17,softcare,leesoft,9
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00072_79db58ab0afd.webp,,False,55.67,softcare,Provislans.Food Stuffs & Cold Store,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00073_3a175dadabf8.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00073_3a175dadabf8.webp,True,63.92,softcare,PREMIUM SOFT,20
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00074_18b3b453dcca.webp,,False,47.15,softcare,Cuertle,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00075_76677b4c55ca.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00075_76677b4c55ca.webp,True,66.11,softcare,ex,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00076_42fc816470b2.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00076_42fc816470b2.webp,True,62.63,softcare,leesoft,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00077_20155275b59a.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00077_20155275b59a.webp,True,71.78,softcare,"eesoft,",9
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00078_6b1a31a6c36a.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00078_6b1a31a6c36a.webp,True,70.71,softcare,leesoft,35
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00079_533cc72f7ef0.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00079_533cc72f7ef0.webp,True,66.21,softcare,leesoft,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00080_f9f1cef54cf0.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00080_f9f1cef54cf0.webp,True,70.64,softcare,S,18
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00081_8086b115a420.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00081_8086b115a420.webp,True,66.01,softcare,SOFT&SMOOTH,36
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00082_4d56dfe67a7f.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00082_4d56dfe67a7f.webp,True,84.52,softcare,esoft,58
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00082_f7792d92a796.webp,,False,47.47,softcare,MARTHAS GOOD CHOICE,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00083_cdf80b1e3c53.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00083_cdf80b1e3c53.webp,True,63.22,softcare,OTH,19
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00084_cff8248b75b1.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00084_cff8248b75b1.webp,True,76.67,softcare,esoft,14
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00085_6c579ab94b0b.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00085_6c579ab94b0b.webp,True,70.53,softcare,Xeesoft,27
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00086_199f845f4ebe.webp,,False,42.44,softcare,QUA-NYARKENT,10
