row_number,url,status,path,error
52,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/4bd197537690a34f89c1393bb37070fe.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_e827cce4a570.webp,
52,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/62385a318f996185b84814c89b7d0e27.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_267902abc0f0.webp,
52,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/746178301453f922d4607f1296839e79.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_aebd127ea7b2.webp,
53,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/24f41f96c23333ba29119867c4b93bf5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_68b732c5680a.webp,
53,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/8efc5c86d65276f533a470873bbfb148.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_9433041b8b5f.webp,
54,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/162fb955053ec62ea0026896d13ce23e.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00054_a16e0792798a.webp,
55,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/770ecabba86f95c4000e418e0de56580.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00055_7cace32ec1a7.webp,
56,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/b0bc10aa2d21870e4c8d2478fe36e583.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00056_2813dbb5d9d3.webp,
57,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/bbfa7d249ed52c56169c02cad1355476.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00057_c14f414f2820.webp,
58,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/f2e76681990ef73f67e357eb6b58d6b5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00058_1ee2bc6e8f1c.webp,
59,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/cf69c781539c22f72f6b8e9b76dd65ed.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00059_05da029f6fd2.webp,
60,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/4f5ee693b320c2501006f591b4b4108c.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00060_4e2696549c5b.webp,
61,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/81027f96cda7cf59c6d0c14f4e5d7d51.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00061_f7cdbf0a4463.webp,
62,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/40df966b79222e65c6bc23d2243f0448.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00062_f8f6cb2b006f.webp,
63,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3e8c12be25629c7dcc6dd9223a95a303.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00063_b3a57d1ed15b.webp,
64,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/e08eb0c95740eef19220dfe22368ad6e.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00064_2c7fa8e65842.webp,
